city,cloudiness,country,dt,humidity,lat,lng,max_temp,wind_speed
kupang,99,ID,1571020100,81,-10.16,123.6,78.19,7.82
lavrentiya,100,RU,1571020100,80,65.58,-170.99,35.44,13.76
petropavlovsk-kamchatskiy,2,RU,1571020100,39,53.05,158.65,46.4,15.66
helsinki,75,FI,1571020100,100,60.17,24.94,39,3.36
cape town,0,ZA,1571020101,87,-33.93,18.42,59,9.17
kodiak,1,US,1571020101,75,39.95,-94.76,48.2,3.16
mitsamiouli,3,KM,1571020101,74,-11.38,43.28,78.4,6.65
gigmoto,42,PH,1571020101,73,13.78,124.39,82.36,10.11
yellowknife,90,CA,1571020100,70,62.45,-114.38,32,5.82
